YTN뉴스특보,소계,소계,34041.69,31613.74,21.44,59.75,97.16,44.06,1382.5,182.75,2709.21,1071.42,8245.76,6010,6722.11,5067.58,2427.95,6.57,73.46,70.73,138.92,76.63,27.18,388.27,30.85,118.68,153.94,1196.46,146.27,1월,,,,,,,,,,,,,,,,,,,,,,,,,,,
YTN뉴스특보,YTN,소계,34041.69,31613.74,21.44,59.75,97.16,44.06,1382.5,182.75,2709.21,1071.42,8245.76,6010,6722.11,5067.58,2427.95,6.57,73.46,70.73,138.92,76.63,27.18,388.27,30.85,118.68,153.94,1196.46,146.27,1월,,,,,,,,,,,,,,,,,,,,,,,,,,,
YTN뉴스특보,YTN,live,16225.15,14530.42,1.41,53.91,90.2,6.6,604.74,96.18,1504.27,515.38,3762.52,2577.11,3203.06,2115.06,1694.73,5.94,12.23,62.06,21.78,62.24,25.74,347.03,14.46,105.78,57.92,921.88,57.68,1월,,,,,,,,,,,,,,,,,,,,,,,,,,,
YTN뉴스특보,YTN,vod,17816.54,17083.32,20.04,5.85,6.96,37.46,777.76,86.57,1204.94,556.03,4483.24,3432.89,3519.05,2952.53,733.22,0.64,61.23,8.67,117.13,14.39,1.44,41.24,16.4,12.9,96.02,274.58,88.59,1월,,,,,,,,,,,,,,,,,,,,,,,,,,,
MBC뉴스특보,소계,소계,22913.39,20556.51,7.78,10.93,81.69,68.45,997.83,410.65,2069.87,1240.44,6550.76,3717.92,2871.71,2528.47,2356.88,93.51,44.68,91.89,41.49,108.65,10.98,685.94,8.3,164.55,617.31,303.16,186.44,1월,,,,,,,,,,,,,,,,,,,,,,,,,,,
MBC뉴스특보,MBC,소계,22913.39,20556.51,7.78,10.93,81.69,68.45,997.83,410.65,2069.87,1240.44,6550.76,3717.92,2871.71,2528.47,2356.88,93.51,44.68,91.89,41.49,108.65,10.98,685.94,8.3,164.55,617.31,303.16,186.44,1월,,,,,,,,,,,,,,,,,,,,,,,,,,,
MBC뉴스특보,MBC,live,19006.64,16757.74,7.78,10.93,75.08,64.81,826.11,399.68,1504.78,1010.07,5852.53,2872.77,2433.4,1699.83,2248.9,93.51,43.16,91.89,40.17,61.65,10.98,684.85,8.3,111.52,616.87,302.08,183.93,1월,,,,,,,,,,,,,,,,,,,,,,,,,,,
MBC뉴스특보,MBC,vod,3906.74,3798.77,0,0,6.61,3.65,171.72,10.97,565.09,230.38,698.23,845.15,438.32,828.65,107.98,0,1.52,0,1.32,47,0,1.09,0,53.03,0.43,1.08,2.51,1월,,,,,,,,,,,,,,,,,,,,,,,,,,,
한일톱텐쇼,소계,소계,21836.5,21598.51,0,90.31,26,102.61,219.75,229.48,265.91,129.02,434.7,10909.26,8528.9,662.6,237.99,82.28,24.79,0,4.44,20.26,4.35,0,0,18.79,1.39,64.92,16.76,1월,,,,,,,,,,,,,,,,,,,,,,,,,,,
한일톱텐쇼,MBN,소계,15678.15,15530.03,0,80.22,11.86,83.07,5.09,156.46,145.28,96.18,231.19,8400.97,5811.99,507.73,148.12,45.92,22.07,0,4.44,13.39,4.24,0,0,10.33,0.74,46.26,0.73,1월,,,,,,,,,,,,,,,,,,,,,,,,,,,
한일톱텐쇼,MBN,live,1487.44,1435.76,0,0.69,0.17,2.12,0,31.21,83.1,0.07,55.83,801.51,428.08,32.97,51.68,0,7.79,0,0,0,3.62,0,0,0,0,40.27,0,1월,,,,,,,,,,,,,,,,,,,,,,,,,,,
한일톱텐쇼,MBN,vod,14190.71,14094.28,0,79.53,11.68,80.94,5.09,125.25,62.17,96.1,175.36,7599.46,5383.91,474.76,96.44,45.92,14.28,0,4.44,13.39,0.62,0,0,10.33,0.74,5.99,0.73,1월,,,,,,,,,,,,,,,,,,,,,,,,,,,
한일톱텐쇼,MBN Plus,소계,6158.35,6068.48,0,10.08,14.14,19.54,214.65,73.02,120.63,32.84,203.51,2508.29,2716.91,154.87,89.87,36.36,2.72,0,0,6.88,0.11,0,0,8.46,0.65,18.66,16.03,1월,,,,,,,,,,,,,,,,,,,,,,,,,,,
한일톱텐쇼,MBN Plus,live,1964.07,1962.12,0,0,0,5.08,0,0,23.78,0.24,20.82,956.29,947.33,8.59,1.95,0,0.66,0,0,0,0,0,0,0,0,1.29,0,1월,,,,,,,,,,,,,,,,,,,,,,,,,,,
한일톱텐쇼,MBN Plus,vod,4194.28,4106.36,0,10.08,14.14,14.47,214.65,73.02,96.85,32.6,182.69,1552,1769.58,146.28,87.91,36.36,2.06,0,0,6.88,0.11,0,0,8.46,0.65,17.37,16.03,1월,,,,,,,,,,,,,,,,,,,,,,,,,,,
원경,소계,소계,18416.56,17741.24,98.53,171.49,193.95,1189.79,844.6,3514.96,1576.9,3031.68,1151.41,4512.47,317.38,1138.08,675.33,122.14,1.47,48.3,112.62,42.84,53.34,109.99,94.93,0,7.67,82.02,0,1월,,,,,,,,,,,,,,,,,,,,,,,,,,,
원경,tvN,소계,9652.31,9301.55,4.68,109.14,100.09,610.23,341.51,1971.24,907.14,1672.9,646.08,2336.67,119.49,482.39,350.76,80.47,1.47,41.98,31.86,24.93,37.69,58.38,63.91,0,6.92,3.17,0,1월,,,,,,,,,,,,,,,,,,,,,,,,,,,
원경,tvN,live,2496.2,2394.25,0,1.05,0.18,141.51,65.89,664.6,247.06,470.63,228.25,424.77,19.31,131.01,101.95,16.43,0,27.87,15.84,1.31,2.51,7.07,30.93,0,0,0,0,1월,,,,,,,,,,,,,,,,,,,,,,,,,,,
원경,tvN,vod,7156.11,6907.3,4.68,108.09,99.9,468.72,275.63,1306.65,660.08,1202.27,417.83,1911.9,100.18,351.38,248.81,64.04,1.47,14.11,16.02,23.62,35.18,51.32,32.98,0,6.92,3.17,0,1월,,,,,,,,,,,,,,,,,,,,,,,,,,,
원경,tvN DRAMA,소계,4861.87,4647.66,0.61,46.74,67.18,318,309.72,895.37,344.73,717.18,280.84,1177.94,62.75,426.59,214.21,16.6,0,1.98,72.7,8.48,6.5,13.9,17.38,0,0,76.68,0,1월,,,,,,,,,,,,,,,,,,,,,,,,,,,
원경,tvN DRAMA,live,1176.75,1150.06,0,4.42,22.31,123.94,39.58,186.37,102.99,206.05,52.97,295.98,9.4,106.05,26.69,5.24,0,0.89,3.12,1.46,1.97,7.96,6.05,0,0,0,0,1월,,,,,,,,,,,,,,,,,,,,,,,,,,,
원경,tvN DRAMA,vod,3685.12,3497.6,0.61,42.31,44.88,194.06,270.14,709,241.74,511.14,227.87,881.95,53.36,320.54,187.52,11.36,0,1.09,69.58,7.02,4.52,5.94,11.34,0,0,76.68,0,1월,,,,,,,,,,,,,,,,,,,,,,,,,,,
원경,tvN STORY,소계,3902.38,3792.03,93.24,15.61,26.68,261.56,193.37,648.35,325.03,641.6,224.49,997.87,135.14,229.1,110.35,25.08,0,4.34,8.07,9.43,9.15,37.71,13.64,0,0.76,2.18,0,1월,,,,,,,,,,,,,,,,,,,,,,,,,,,
원경,tvN STORY,live,748.76,701.74,0,0,1.66,59.66,12,130.04,51.55,114.83,83.98,202.28,19.14,26.6,47.02,13.78,0,4.34,8.07,0.59,3.52,9.32,7.08,0,0,0.32,0,1월,,,,,,,,,,,,,,,,,,,,,,,,,,,
원경,tvN STORY,vod,3153.62,3090.29,93.24,15.61,25.02,201.9,181.37,518.3,273.48,526.77,140.51,795.59,116,202.5,63.33,11.3,0,0,0,8.84,5.64,28.4,6.56,0,0.76,1.85,0,1월,,,,,,,,,,,,,,,,,,,,,,,,,,,
나의완벽한비서,소계,소계,17481.07,14432.96,523.81,290.17,800.81,315.53,967.1,795.55,1160.07,3416.58,1048.01,2517.25,1231.57,1366.5,3048.11,172.34,448.69,13.62,504.89,370.95,497.74,574.55,159,274.65,15.93,15.74,0,1월,,,,,,,,,,,,,,,,,,,,,,,,,,,
나의완벽한비서,ENA,소계,6160.09,3944.88,118.87,67.4,216.65,88.27,201.11,279.16,433.32,643.51,265.34,744.45,393.79,493,2215.21,106.65,275.1,13.62,368.76,283.8,398.31,440.28,88.82,220.89,15.93,3.05,0,1월,,,,,,,,,,,,,,,,,,,,,,,,,,,
나의완벽한비서,ENA,live,1320.24,1133.35,15.86,23.59,53.14,11.3,50.41,65.6,57.62,190.91,149.48,194.72,90.9,229.83,186.9,88.95,25.04,0,0.49,3.3,54.99,6.42,4.25,0.4,0,3.05,0,1월,,,,,,,,,,,,,,,,,,,,,,,,,,,
나의완벽한비서,ENA,vod,4839.84,2811.54,103.01,43.82,163.51,76.98,150.7,213.56,375.7,452.61,115.86,549.73,302.89,263.17,2028.31,17.69,250.06,13.62,368.27,280.5,343.32,433.86,84.57,220.48,15.93,0,0,1월,,,,,,,,,,,,,,,,,,,,,,,,,,,
나의완벽한비서,SBS,소계,4038.58,3645.8,65.21,43.37,77.25,85.57,287.9,124.48,221.95,1267.81,246.55,520.32,289.01,416.4,392.77,29.59,81.19,0,98.52,7.63,9.07,84.84,65.81,5.18,0,10.94,0,1월,,,,,,,,,,,,,,,,,,,,,,,,,,,
나의완벽한비서,SBS,live,1293.05,1190.53,62.27,36.12,19.97,42.8,91.32,15.66,62.11,323.29,48.9,114.19,158.96,214.94,102.52,5.59,2.29,0,17.5,0.21,1.98,0,65.1,0,0,9.84,0,1월,,,,,,,,,,,,,,,,,,,,,,,,,,,
나의완벽한비서,SBS,vod,2745.53,2455.27,2.94,7.25,57.28,42.77,196.58,108.81,159.83,944.52,197.65,406.13,130.05,201.46,290.26,24,78.9,0,81.02,7.42,7.1,84.84,0.71,5.18,0,1.09,0,1월,,,,,,,,,,,,,,,,,,,,,,,,,,,
나의완벽한비서,SBS funE,소계,1472,1397.95,150.01,53.66,251.06,23.03,125.7,72.01,64.83,291.86,88.15,200.16,48.31,29.17,74.05,7.63,19.75,0,5.18,3.57,23.29,0.6,0.82,12.55,0,0.66,0,1월,,,,,,,,,,,,,,,,,,,,,,,,,,,
나의완벽한비서,SBS funE,live,253.75,237,48.86,0,22.53,1.7,14.19,2.52,6.2,60.21,15.36,32.88,22.26,10.3,16.75,6.33,5.46,0,0,0,3.59,0.6,0.11,0,0,0.66,0,1월,,,,,,,,,,,,,,,,,,,,,,,,,,,
나의완벽한비서,SBS funE,vod,1218.24,1160.94,101.14,53.66,228.53,21.34,111.51,69.49,58.63,231.66,72.79,167.27,26.05,18.87,57.3,1.3,14.29,0,5.18,3.57,19.7,0,0.71,12.55,0,0,0,1월,,,,,,,,,,,,,,,,,,,,,,,,,,,
