조사모집단 수,조사모집단 수 (명),52322318,33012314,1114459,900845,1860951,1765528,2408873,2407979,3498864,3325970,4116132,4222879,3849765,3540069,19310004,1280335,1128625,2449895,2413741,2503507,2079523,2221997,1546328,1536106,972128,811170,366649,월
--- 1월 데이터 시작 (25행) ---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오락,live,70930.44,65011.47,1954.47,1267.15,2448.79,3759.66,6547.14,6352.62,6557.55,7795.7,7023.32,8753.0,6869.07,5683.03,5918.96,158.81,127.0,329.9,383.24,1374.65,589.65,747.53,414.77,390.6,244.26,1036.95,121.61,1월
오락,vod,352656.36,317830.99,11441.79,9174.25,15060.52,18700.25,30600.37,26735.27,32958.59,30508.62,33761.68,47081.41,28921.91,32886.34,34825.37,2611.8,2024.89,3016.78,3565.83,9020.12,3308.31,3376.85,1476.27,2472.58,1540.69,1846.39,564.87,1월
정보,Total,47739.81,42669.87,1410.2,530.56,845.06,2163.32,3247.17,2357.81,3609.59,2793.23,8024.2,5000.93,5863.55,6824.26,5069.94,278.79,229.7,659.9,214.09,869.32,308.98,897.96,296.48,433.34,163.9,655.85,61.64,1월
정보,live,9477.44,8763.08,215.64,105.26,252.37,314.76,572.7,539.0,660.99,451.98,1670.96,909.89,2012.4,1057.14,714.36,7.9,11.71,43.68,7.97,85.09,104.06,80.4,38.48,52.16,28.29,216.97,37.66,1월
정보,vod,38262.37,33906.79,1194.55,425.3,592.69,1848.56,2674.47,1818.81,2948.59,2341.25,6353.25,4091.04,3851.15,5767.12,4355.58,270.89,217.98,616.22,206.12,784.23,204.92,817.56,258.0,381.18,135.62,438.88,23.99,1월
--- 2월 데이터 시작 (25행) ---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
총합계,Total,1119590.15,1017984.82,21665.84,13955.9,35379.02,37676.29,74640.96,47845.73,101783.38,84067.01,149708.13,170418.49,147423.82,133420.26,101605.33,9384.73,2662.19,10674.99,7016.03,18294.12,11443.55,10167.86,4850.09,9685.06,5996.11,9434.1,1996.51,2월
교육,Total,867.19,506.86,0.0,0.0,0.0,56.53,0.0,0.0,5.96,160.73,16.16,2.73,264.75,0.0,360.33,1.47,0.0,30.48,2.89,68.0,5.92,4.11,0.0,210.14,23.8,13.53,0.0,2월
교육,live,71.86,57.76,0.0,0.0,0.0,0.0,0.0,0.0,5.96,0.0,6.08,0.0,45.72,0.0,14.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.0,13.53,0.0,2월
교육,vod,795.33,449.1,0.0,0.0,0.0,56.53,0.0,0.0,0.0,160.73,10.08,2.73,219.03,0.0,346.23,1.47,0.0,30.48,2.89,68.0,5.92,4.11,0.0,209.57,23.8,0.0,0.0,2월
기타,Total,293.72,263.42,35.12,0.0,11.17,0.0,40.65,13.93,0.0,9.17,18.4,29.58,100.81,4.58,30.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.46,0.0,13.84,0.0,2월
기타,live,81.52,81.52,34.84,0.0,0.0,0.0,40.65,0.0,0.0,0.0,0.0,6.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2월
기타,vod,212.2,181.9,0.27,0.0,11.17,0.0,0.0,13.93,0.0,9.17,18.4,23.56,100.81,4.58,30.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.46,0.0,13.84,0.0,2월
드라마&영화,Total,115350.94,101688.92,4097.07,1596.23,7014.97,4956.66,4677.34,6370.77,13831.94,14382.1,10504.87,21313.42,6058.98,6884.58,13662.02,463.75,256.89,534.31,1110.6,1488.19,4559.14,1201.88,364.29,1641.65,697.68,1189.35,154.29,2월
드라마&영화,live,16811.16,14853.67,235.3,209.3,441.33,555.33,444.57,1215.5,1584.23,2513.99,1131.56,3846.93,1268.57,1407.06,1957.48,131.34,9.78,43.48,322.2,33.8,654.01,119.16,107.44,269.57,95.05,171.66,0.0,2월
드라마&영화,vod,98539.78,86835.25,3861.77,1386.92,6573.64,4401.33,4232.78,5155.28,12247.7,11868.11,9373.31,17466.49,4790.41,5477.52,11704.53,332.41,247.11,490.83,788.4,1454.4,3905.13,1082.72,256.85,1372.07,602.63,1017.69,154.29,2월
보도,Total,438388.38,418664.28,1275.25,544.19,4642.53,2617.91,20288.37,5002.13,38821.54,19226.49,88731.49,68983.82,90421.54,78109.01,19724.1,492.34,1259.84,520.65,600.29,2094.36,688.69,3133.96,292.69,2959.46,2597.03,3925.46,1159.33,2월
