station_code,people_in,people_out,geo.latitude,geo.longitude
2818.0,49942.0,54802.0,37.492522,127.118234
2819.0,124913.0,128609.0,37.485855,127.1225
2820.0,113374.0,112237.0,37.478703,127.126191
2821.0,63633.0,57400.0,37.470047,127.126662
2822.0,45505.0,46396.0,37.457122,127.149908
2823.0,86414.0,82036.0,37.451535,127.159816
2824.0,72176.0,69737.0,37.44521,127.156866
2825.0,34085.0,35295.0,37.440918,127.147564
2826.0,36842.0,34061.0,37.437428,127.140722
2827.0,32722.0,23925.0,37.43213,127.129087
